"","Partito","Data","Percentuale","Istituto","Campione"
"1","FPÖ",2017-12-20,26,"Market",800
"2","GRÜNE",2017-12-20,4,"Market",800
"3","NEOS",2017-12-20,6,"Market",800
"4","SPÖ",2017-12-20,27,"Market",800
"5","ÖVP",2017-12-20,33,"Market",800
"6","FPÖ",2017-12-21,26,"Peter Hajek",700
"7","GRÜNE",2017-12-21,5,"Peter Hajek",700
"8","NEOS",2017-12-21,6,"Peter Hajek",700
"9","SPÖ",2017-12-21,28,"Peter Hajek",700
"10","ÖVP",2017-12-21,31,"Peter Hajek",700
"11","FPÖ",2018-01-19,25,"Unique Research",500
"12","GRÜNE",2018-01-19,4,"Unique Research",500
"13","NEOS",2018-01-19,6,"Unique Research",500
"14","SPÖ",2018-01-19,27,"Unique Research",500
"15","ÖVP",2018-01-19,34,"Unique Research",500
"16","FPÖ",2018-02-16,26,"Unique Research",500
"17","GRÜNE",2018-02-16,5,"Unique Research",500
"18","NEOS",2018-02-16,7,"Unique Research",500
"19","SPÖ",2018-02-16,26,"Unique Research",500
"20","ÖVP",2018-02-16,33,"Unique Research",500
"21","FPÖ",2018-02-19,26,"Spectra",709
"22","GRÜNE",2018-02-19,2,"Spectra",709
"23","NEOS",2018-02-19,5,"Spectra",709
"24","SPÖ",2018-02-19,28,"Spectra",709
"25","ÖVP",2018-02-19,33,"Spectra",709
"26","FPÖ",2018-02-20,25,"Peter Hajek",726
"27","GRÜNE",2018-02-20,5,"Peter Hajek",726
"28","NEOS",2018-02-20,7,"Peter Hajek",726
"29","SPÖ",2018-02-20,25,"Peter Hajek",726
"30","ÖVP",2018-02-20,34,"Peter Hajek",726
"31","FPÖ",2018-03-08,24,"Market",807
"32","GRÜNE",2018-03-08,3,"Market",807
"33","NEOS",2018-03-08,8,"Market",807
"34","SPÖ",2018-03-08,29,"Market",807
"35","ÖVP",2018-03-08,33,"Market",807
"36","FPÖ",2018-03-15,25,"Unique Research",500
"37","GRÜNE",2018-03-15,6,"Unique Research",500
"38","NEOS",2018-03-15,7,"Unique Research",500
"39","SPÖ",2018-03-15,28,"Unique Research",500
"40","ÖVP",2018-03-15,31,"Unique Research",500
"41","FPÖ",2018-03-18,25,"IMAS",2073
"42","GRÜNE",2018-03-18,3,"IMAS",2073
"43","NEOS",2018-03-18,7,"IMAS",2073
"44","SPÖ",2018-03-18,28,"IMAS",2073
"45","ÖVP",2018-03-18,32,"IMAS",2073
"46","FPÖ",2018-03-21,24,"OGM",519
"47","GRÜNE",2018-03-21,5,"OGM",519
"48","NEOS",2018-03-21,7,"OGM",519
"49","SPÖ",2018-03-21,28,"OGM",519
"50","ÖVP",2018-03-21,32,"OGM",519
"51","FPÖ",2018-03-22,23,"Unique Research",800
"52","GRÜNE",2018-03-22,4,"Unique Research",800
"53","NEOS",2018-03-22,8,"Unique Research",800
"54","SPÖ",2018-03-22,30,"Unique Research",800
"55","ÖVP",2018-03-22,32,"Unique Research",800
"56","FPÖ",2018-03-26,29,"Spectra",717
"57","GRÜNE",2018-03-26,2,"Spectra",717
"58","NEOS",2018-03-26,4,"Spectra",717
"59","SPÖ",2018-03-26,27,"Spectra",717
"60","ÖVP",2018-03-26,31,"Spectra",717
"61","FPÖ",2018-03-29,25,"Market",811
"62","GRÜNE",2018-03-29,4,"Market",811
"63","NEOS",2018-03-29,8,"Market",811
"64","SPÖ",2018-03-29,28,"Market",811
"65","ÖVP",2018-03-29,32,"Market",811
"66","FPÖ",2018-04-13,24,"Unique Research",500
"67","GRÜNE",2018-04-13,6,"Unique Research",500
"68","NEOS",2018-04-13,6,"Unique Research",500
"69","SPÖ",2018-04-13,27,"Unique Research",500
"70","ÖVP",2018-04-13,33,"Unique Research",500
"71","FPÖ",2018-04-25,26,"Peter Hajek",700
"72","GRÜNE",2018-04-25,4,"Peter Hajek",700
"73","NEOS",2018-04-25,8,"Peter Hajek",700
"74","SPÖ",2018-04-25,26,"Peter Hajek",700
"75","ÖVP",2018-04-25,33,"Peter Hajek",700
"76","FPÖ",2018-04-30,27,"Spectra",738
"77","GRÜNE",2018-04-30,1,"Spectra",738
"78","NEOS",2018-04-30,5,"Spectra",738
"79","SPÖ",2018-04-30,28,"Spectra",738
"80","ÖVP",2018-04-30,34,"Spectra",738
"81","FPÖ",2018-05-09,26,"IMAS",1007
"82","GRÜNE",2018-05-09,5,"IMAS",1007
"83","NEOS",2018-05-09,5,"IMAS",1007
"84","SPÖ",2018-05-09,28,"IMAS",1007
"85","ÖVP",2018-05-09,33,"IMAS",1007
"86","FPÖ",2018-05-25,25,"Unique Research",800
"87","GRÜNE",2018-05-25,6,"Unique Research",800
"88","NEOS",2018-05-25,7,"Unique Research",800
"89","SPÖ",2018-05-25,25,"Unique Research",800
"90","ÖVP",2018-05-25,32,"Unique Research",800
"91","FPÖ",2018-06-05,28,"Spectra",732
"92","GRÜNE",2018-06-05,3,"Spectra",732
"93","NEOS",2018-06-05,4,"Spectra",732
"94","SPÖ",2018-06-05,27,"Spectra",732
"95","ÖVP",2018-06-05,33,"Spectra",732
"96","FPÖ",2018-06-06,25,"Unique Research",800
"97","GRÜNE",2018-06-06,4,"Unique Research",800
"98","NEOS",2018-06-06,8,"Unique Research",800
"99","SPÖ",2018-06-06,27,"Unique Research",800
"100","ÖVP",2018-06-06,33,"Unique Research",800
"101","FPÖ",2018-06-11,25,"Peter Hajek",700
"102","GRÜNE",2018-06-11,4,"Peter Hajek",700
"103","NEOS",2018-06-11,8,"Peter Hajek",700
"104","SPÖ",2018-06-11,26,"Peter Hajek",700
"105","ÖVP",2018-06-11,34,"Peter Hajek",700
"106","FPÖ",2018-06-15,25,"Market",800
"107","GRÜNE",2018-06-15,5,"Market",800
"108","NEOS",2018-06-15,7,"Market",800
"109","SPÖ",2018-06-15,26,"Market",800
"110","ÖVP",2018-06-15,34,"Market",800
"111","FPÖ",2018-06-21,25,"Unique Research",800
"112","GRÜNE",2018-06-21,4,"Unique Research",800
"113","NEOS",2018-06-21,7,"Unique Research",800
"114","SPÖ",2018-06-21,27,"Unique Research",800
"115","ÖVP",2018-06-21,33,"Unique Research",800
"116","FPÖ",2018-06-28,25,"OGM",806
"117","GRÜNE",2018-06-28,5,"OGM",806
"118","NEOS",2018-06-28,6,"OGM",806
"119","SPÖ",2018-06-28,28,"OGM",806
"120","ÖVP",2018-06-28,33,"OGM",806
"121","FPÖ",2018-06-29,28,"Spectra",709
"122","GRÜNE",2018-06-29,3,"Spectra",709
"123","NEOS",2018-06-29,4,"Spectra",709
"124","SPÖ",2018-06-29,26,"Spectra",709
"125","ÖVP",2018-06-29,34,"Spectra",709
"126","FPÖ",2018-07-13,24,"Unique Research",800
"127","GRÜNE",2018-07-13,4,"Unique Research",800
"128","NEOS",2018-07-13,5,"Unique Research",800
"129","SPÖ",2018-07-13,29,"Unique Research",800
"130","ÖVP",2018-07-13,34,"Unique Research",800
"131","FPÖ",2018-08-10,23,"Unique Research",800
"132","GRÜNE",2018-08-10,4,"Unique Research",800
"133","NEOS",2018-08-10,5,"Unique Research",800
"134","SPÖ",2018-08-10,29,"Unique Research",800
"135","ÖVP",2018-08-10,34,"Unique Research",800
"136","FPÖ",2018-08-23,23,"Market",800
"137","GRÜNE",2018-08-23,6,"Market",800
"138","NEOS",2018-08-23,7,"Market",800
"139","SPÖ",2018-08-23,28,"Market",800
"140","ÖVP",2018-08-23,33,"Market",800
"141","FPÖ",2018-08-29,23,"Peter Hajek",700
"142","GRÜNE",2018-08-29,4,"Peter Hajek",700
"143","NEOS",2018-08-29,7,"Peter Hajek",700
"144","SPÖ",2018-08-29,28,"Peter Hajek",700
"145","ÖVP",2018-08-29,34,"Peter Hajek",700
"146","FPÖ",2018-09-06,23,"Unique Research",800
"147","GRÜNE",2018-09-06,5,"Unique Research",800
"148","NEOS",2018-09-06,7,"Unique Research",800
"149","SPÖ",2018-09-06,29,"Unique Research",800
"150","ÖVP",2018-09-06,33,"Unique Research",800
"151","FPÖ",2018-09-13,25,"Unique Research",800
"152","GRÜNE",2018-09-13,4,"Unique Research",800
"153","NEOS",2018-09-13,7,"Unique Research",800
"154","SPÖ",2018-09-13,28,"Unique Research",800
"155","ÖVP",2018-09-13,34,"Unique Research",800
"156","FPÖ",2018-09-27,23,"Market",804
"157","GRÜNE",2018-09-27,5,"Market",804
"158","NEOS",2018-09-27,8,"Market",804
"159","SPÖ",2018-09-27,28,"Market",804
"160","ÖVP",2018-09-27,33,"Market",804
"161","FPÖ",2018-10-11,26,"OGM",802
"162","GRÜNE",2018-10-11,4,"OGM",802
"163","NEOS",2018-10-11,6,"OGM",802
"164","SPÖ",2018-10-11,26,"OGM",802
"165","ÖVP",2018-10-11,34,"OGM",802
"166","FPÖ",2018-10-12,25,"Unique Research",800
"167","GRÜNE",2018-10-12,5,"Unique Research",800
"168","NEOS",2018-10-12,7,"Unique Research",800
"169","SPÖ",2018-10-12,26,"Unique Research",800
"170","ÖVP",2018-10-12,34,"Unique Research",800
"171","FPÖ",2018-10-13,23.5,"GfK",1500
"172","GRÜNE",2018-10-13,5,"GfK",1500
"173","NEOS",2018-10-13,7,"GfK",1500
"174","SPÖ",2018-10-13,27.5,"GfK",1500
"175","ÖVP",2018-10-13,33,"GfK",1500
"176","FPÖ",2018-10-29,26,"Spectra",708
"177","GRÜNE",2018-10-29,4,"Spectra",708
"178","NEOS",2018-10-29,6,"Spectra",708
"179","SPÖ",2018-10-29,25,"Spectra",708
"180","ÖVP",2018-10-29,33,"Spectra",708
"181","FPÖ",2018-10-31,25,"Peter Hajek",1000
"182","GRÜNE",2018-10-31,6,"Peter Hajek",1000
"183","NEOS",2018-10-31,7,"Peter Hajek",1000
"184","SPÖ",2018-10-31,25,"Peter Hajek",1000
"185","ÖVP",2018-10-31,33,"Peter Hajek",1000
"186","FPÖ",2018-11-15,25,"Market",803
"187","GRÜNE",2018-11-15,5,"Market",803
"188","NEOS",2018-11-15,8,"Market",803
"189","SPÖ",2018-11-15,26,"Market",803
"190","ÖVP",2018-11-15,33,"Market",803
"191","FPÖ",2018-11-16,24,"Unique Research",800
"192","GRÜNE",2018-11-16,5,"Unique Research",800
"193","NEOS",2018-11-16,9,"Unique Research",800
"194","SPÖ",2018-11-16,24,"Unique Research",800
"195","ÖVP",2018-11-16,35,"Unique Research",800
"196","FPÖ",2018-12-06,22,"Unique Research",800
"197","GRÜNE",2018-12-06,6,"Unique Research",800
"198","NEOS",2018-12-06,9,"Unique Research",800
"199","SPÖ",2018-12-06,26,"Unique Research",800
"200","ÖVP",2018-12-06,33,"Unique Research",800
"201","FPÖ",2018-12-09,23.5,"GfK",2000
"202","GRÜNE",2018-12-09,5.5,"GfK",2000
"203","NEOS",2018-12-09,7.5,"GfK",2000
"204","SPÖ",2018-12-09,26,"GfK",2000
"205","ÖVP",2018-12-09,34,"GfK",2000
"206","FPÖ",2018-12-11,22,"Peter Hajek",800
"207","GRÜNE",2018-12-11,5,"Peter Hajek",800
"208","NEOS",2018-12-11,9,"Peter Hajek",800
"209","SPÖ",2018-12-11,26,"Peter Hajek",800
"210","ÖVP",2018-12-11,35,"Peter Hajek",800
"211","FPÖ",2018-12-12,24,"Market",804
"212","GRÜNE",2018-12-12,5,"Market",804
"213","NEOS",2018-12-12,7,"Market",804
"214","SPÖ",2018-12-12,27,"Market",804
"215","ÖVP",2018-12-12,34,"Market",804
"216","FPÖ",2018-12-14,22,"Unique Research",800
"217","GRÜNE",2018-12-14,6,"Unique Research",800
"218","NEOS",2018-12-14,8,"Unique Research",800
"219","SPÖ",2018-12-14,26,"Unique Research",800
"220","ÖVP",2018-12-14,35,"Unique Research",800
"221","FPÖ",2019-01-11,21,"Unique Research",800
"222","GRÜNE",2019-01-11,6,"Unique Research",800
"223","NEOS",2019-01-11,8,"Unique Research",800
"224","SPÖ",2019-01-11,27,"Unique Research",800
"225","ÖVP",2019-01-11,35,"Unique Research",800
"226","FPÖ",2019-01-17,24,"OGM",803
"227","GRÜNE",2019-01-17,5,"OGM",803
"228","NEOS",2019-01-17,7,"OGM",803
"229","SPÖ",2019-01-17,27,"OGM",803
"230","ÖVP",2019-01-17,35,"OGM",803
"231","FPÖ",2019-02-08,22,"Demox Research",1000
"232","GRÜNE",2019-02-08,5,"Demox Research",1000
"233","NEOS",2019-02-08,8.5,"Demox Research",1000
"234","SPÖ",2019-02-08,27,"Demox Research",1000
"235","ÖVP",2019-02-08,34,"Demox Research",1000
"236","FPÖ",2019-02-15,25,"Unique Research",800
"237","GRÜNE",2019-02-15,6,"Unique Research",800
"238","NEOS",2019-02-15,8,"Unique Research",800
"239","SPÖ",2019-02-15,26,"Unique Research",800
"240","ÖVP",2019-02-15,32,"Unique Research",800
"241","FPÖ",2019-02-20,21,"Market",804
"242","GRÜNE",2019-02-20,8,"Market",804
"243","NEOS",2019-02-20,11,"Market",804
"244","SPÖ",2019-02-20,25,"Market",804
"245","ÖVP",2019-02-20,34,"Market",804
"246","FPÖ",2019-02-28,23,"Peter Hajek",800
"247","GRÜNE",2019-02-28,6,"Peter Hajek",800
"248","NEOS",2019-02-28,8,"Peter Hajek",800
"249","SPÖ",2019-02-28,27,"Peter Hajek",800
"250","ÖVP",2019-02-28,34,"Peter Hajek",800
"251","FPÖ",2019-03-01,24,"INSA",1000
"252","GRÜNE",2019-03-01,9,"INSA",1000
"253","NEOS",2019-03-01,8,"INSA",1000
"254","SPÖ",2019-03-01,25,"INSA",1000
"255","ÖVP",2019-03-01,29,"INSA",1000
"256","FPÖ",2019-03-07,24,"Unique Research",800
"257","GRÜNE",2019-03-07,6,"Unique Research",800
"258","NEOS",2019-03-07,7,"Unique Research",800
"259","SPÖ",2019-03-07,27,"Unique Research",800
"260","ÖVP",2019-03-07,33,"Unique Research",800
"261","FPÖ",2019-03-15,24,"Unique Research",800
"262","GRÜNE",2019-03-15,5,"Unique Research",800
"263","NEOS",2019-03-15,8,"Unique Research",800
"264","SPÖ",2019-03-15,25,"Unique Research",800
"265","ÖVP",2019-03-15,34,"Unique Research",800
"266","FPÖ",2019-04-11,24,"Demox Research",1500
"267","GRÜNE",2019-04-11,6,"Demox Research",1500
"268","NEOS",2019-04-11,7,"Demox Research",1500
"269","SPÖ",2019-04-11,27,"Demox Research",1500
"270","ÖVP",2019-04-11,33,"Demox Research",1500
"271","FPÖ",2019-04-12,22,"Unique Research",800
"272","GRÜNE",2019-04-12,5,"Unique Research",800
"273","NEOS",2019-04-12,7,"Unique Research",800
"274","SPÖ",2019-04-12,28,"Unique Research",800
"275","ÖVP",2019-04-12,34,"Unique Research",800
"276","FPÖ",2019-04-15,22,"Market",803
"277","GRÜNE",2019-04-15,5,"Market",803
