Partito;Data;Percentuale;Istituto;Campione
FdI;14/03/2018;3.1;SWG;1000
FI;14/03/2018;10.5;SWG;1000
Lega;14/03/2018;22.3;SWG;1000
M5S;14/03/2018;34.5;SWG;1000
PD;14/03/2018;18;SWG;1000
FdI;15/03/2018;4;Piepoli;512
FdI;15/03/2018;4.8;Demos & Pi;1246
FI;15/03/2018;14;Piepoli;512
FI;15/03/2018;12.8;Demos & Pi;1246
Lega;15/03/2018;18;Piepoli;512
Lega;15/03/2018;18.2;Demos & Pi;1246
M5S;15/03/2018;34;Piepoli;512
M5S;15/03/2018;33.8;Demos & Pi;1246
PD;15/03/2018;18.5;Piepoli;512
PD;15/03/2018;18.4;Demos & Pi;1246
FdI;19/03/2018;4.2;Euromedia;800
FdI;19/03/2018;4;Piepoli;508
FI;19/03/2018;13.4;Euromedia;800
FI;19/03/2018;13.5;Piepoli;508
Lega;19/03/2018;18.8;Euromedia;800
Lega;19/03/2018;18;Piepoli;508
M5S;19/03/2018;33.4;Euromedia;800
M5S;19/03/2018;33.5;Piepoli;508
PD;19/03/2018;18;Euromedia;800
PD;19/03/2018;18;Piepoli;508
FdI;20/03/2018;4.2;Tecnè;802
FI;20/03/2018;13.6;Tecnè;802
Lega;20/03/2018;19.2;Tecnè;802
M5S;20/03/2018;34.2;Tecnè;802
PD;20/03/2018;19;Tecnè;802
FdI;21/03/2018;3.3;Index Research;800
FdI;21/03/2018;3.9;SWG;2000
FI;21/03/2018;10.9;Index Research;800
FI;21/03/2018;10.1;SWG;2000
Lega;21/03/2018;23.5;Index Research;800
Lega;21/03/2018;21.6;SWG;2000
M5S;21/03/2018;34.9;Index Research;800
M5S;21/03/2018;35.2;SWG;2000
PD;21/03/2018;17.5;Index Research;800
PD;21/03/2018;19;SWG;2000
FdI;25/03/2018;4.4;Bidimedia;860
FI;25/03/2018;12.9;Bidimedia;860
Lega;25/03/2018;19.6;Bidimedia;860
M5S;25/03/2018;33.5;Bidimedia;860
PD;25/03/2018;18;Bidimedia;860
FdI;28/03/2018;4.5;Euromedia;800
FdI;28/03/2018;3.4;Index Research;800
FdI;28/03/2018;4;Piepoli;510
FdI;28/03/2018;4.2;Ipsos;1000
FdI;28/03/2018;4.2;SWG;2000
FI;28/03/2018;12.5;Euromedia;800
FI;28/03/2018;11.2;Index Research;800
FI;28/03/2018;13.5;Piepoli;510
FI;28/03/2018;13.1;Ipsos;1000
FI;28/03/2018;12.1;SWG;2000
Lega;28/03/2018;19.4;Euromedia;800
Lega;28/03/2018;23.5;Index Research;800
Lega;28/03/2018;19;Piepoli;510
Lega;28/03/2018;19.2;Ipsos;1000
Lega;28/03/2018;21;SWG;2000
M5S;28/03/2018;34.6;Euromedia;800
M5S;28/03/2018;34.6;Index Research;800
M5S;28/03/2018;34;Piepoli;510
M5S;28/03/2018;33.9;Ipsos;1000
M5S;28/03/2018;34.1;SWG;2000
PD;28/03/2018;17.6;Euromedia;800
PD;28/03/2018;17.7;Index Research;800
PD;28/03/2018;17.5;Piepoli;510
PD;28/03/2018;18.8;Ipsos;1000
PD;28/03/2018;18.4;SWG;2000
FdI;03/04/2018;3.9;Tecnè;998
FdI;03/04/2018;4.5;Demopolis;1500
FI;03/04/2018;13.2;Tecnè;998
FI;03/04/2018;12.5;Demopolis;1500
Lega;03/04/2018;19.8;Tecnè;998
Lega;03/04/2018;20;Demopolis;1500
M5S;03/04/2018;34;Tecnè;998
M5S;03/04/2018;35;Demopolis;1500
PD;03/04/2018;18.5;Tecnè;998
PD;03/04/2018;17.8;Demopolis;1500
FdI;04/04/2018;3.8;SWG;2000
FI;04/04/2018;9.9;SWG;2000
Lega;04/04/2018;22.4;SWG;2000
M5S;04/04/2018;34.5;SWG;2000
PD;04/04/2018;19;SWG;2000
FdI;05/04/2018;3.6;Index Research;800
FI;05/04/2018;11.6;Index Research;800
Lega;05/04/2018;23;Index Research;800
M5S;05/04/2018;34.3;Index Research;800
PD;05/04/2018;18.2;Index Research;800
FdI;09/04/2018;4.1;Euromedia;1000
FdI;09/04/2018;3.5;Piepoli;508
FI;09/04/2018;12.5;Euromedia;1000
FI;09/04/2018;14;Piepoli;508
Lega;09/04/2018;19.5;Euromedia;1000
Lega;09/04/2018;19.5;Piepoli;508
M5S;09/04/2018;34.2;Euromedia;1000
M5S;09/04/2018;35;Piepoli;508
PD;09/04/2018;17.8;Euromedia;1000
PD;09/04/2018;17.5;Piepoli;508
FdI;11/04/2018;3.7;Index Research;800
FdI;11/04/2018;4.1;SWG;2000
FdI;11/04/2018;4.6;Ixè;1000
FI;11/04/2018;11.8;Index Research;800
FI;11/04/2018;10.1;SWG;2000
FI;11/04/2018;12.2;Ixè;1000
Lega;11/04/2018;22.9;Index Research;800
Lega;11/04/2018;23.5;SWG;2000
Lega;11/04/2018;21;Ixè;1000
M5S;11/04/2018;34.1;Index Research;800
M5S;11/04/2018;32.6;SWG;2000
M5S;11/04/2018;34;Ixè;1000
PD;11/04/2018;18.3;Index Research;800
PD;11/04/2018;19.3;SWG;2000
PD;11/04/2018;16.6;Ixè;1000
FdI;13/04/2018;4;Euromedia;1000
FI;13/04/2018;12.5;Euromedia;1000
Lega;13/04/2018;20.7;Euromedia;1000
M5S;13/04/2018;34.1;Euromedia;1000
PD;13/04/2018;17.8;Euromedia;1000
FdI;16/04/2018;3.5;Piepoli;505
FI;16/04/2018;13.5;Piepoli;505
Lega;16/04/2018;19.5;Piepoli;505
M5S;16/04/2018;34.5;Piepoli;505
PD;16/04/2018;17.5;Piepoli;505
FdI;17/04/2018;4.4;Noto Sondaggi;NA
FI;17/04/2018;10.4;Noto Sondaggi;NA
Lega;17/04/2018;23.2;Noto Sondaggi;NA
M5S;17/04/2018;33;Noto Sondaggi;NA
PD;17/04/2018;18.9;Noto Sondaggi;NA
FdI;18/04/2018;3.8;Index Research;800
FdI;18/04/2018;4.4;SWG;2000
FI;18/04/2018;12;Index Research;800
FI;18/04/2018;10.4;SWG;2000
Lega;18/04/2018;22.6;Index Research;800
Lega;18/04/2018;23.2;SWG;2000
M5S;18/04/2018;34;Index Research;800
M5S;18/04/2018;33;SWG;2000
PD;18/04/2018;17.9;Index Research;800
PD;18/04/2018;18.9;SWG;2000
FdI;19/04/2018;4.3;Ipsos;998
FI;19/04/2018;12.9;Ipsos;998
Lega;19/04/2018;19.5;Ipsos;998
M5S;19/04/2018;33.5;Ipsos;998
PD;19/04/2018;19.5;Ipsos;998
FdI;20/04/2018;4;Tecnè;1000
FI;20/04/2018;12.6;Tecnè;1000
Lega;20/04/2018;21.8;Tecnè;1000
M5S;20/04/2018;33.5;Tecnè;1000
PD;20/04/2018;18.1;Tecnè;1000
FdI;23/04/2018;3.5;Piepoli;500
FI;23/04/2018;14;Piepoli;500
Lega;23/04/2018;19.5;Piepoli;500
M5S;23/04/2018;34;Piepoli;500
PD;23/04/2018;17.5;Piepoli;500
FdI;25/04/2018;3.9;SWG;2000
FI;25/04/2018;9.9;SWG;2000
Lega;25/04/2018;23.7;SWG;2000
M5S;25/04/2018;34.3;SWG;2000
PD;25/04/2018;17.8;SWG;2000
FdI;26/04/2018;4.4;EMG Acqua;1627
FI;26/04/2018;12.5;EMG Acqua;1627
Lega;26/04/2018;22;EMG Acqua;1627
M5S;26/04/2018;34.5;EMG Acqua;1627
PD;26/04/2018;17.6;EMG Acqua;1627
FdI;27/04/2018;3.8;Demos & Pi;1005
FI;27/04/2018;12.6;Demos & Pi;1005
Lega;27/04/2018;21.6;Demos & Pi;1005
M5S;27/04/2018;32.9;Demos & Pi;1005
PD;27/04/2018;17.8;Demos & Pi;1005
FdI;30/04/2018;4.4;Tecnè;1600
FdI;30/04/2018;4.1;Euromedia;800
FdI;30/04/2018;4;Piepoli;505
FdI;30/04/2018;4.6;Bidimedia;906
FI;30/04/2018;12.6;Tecnè;1600
FI;30/04/2018;12.4;Euromedia;800
FI;30/04/2018;13;Piepoli;505
FI;30/04/2018;11.6;Bidimedia;906
Lega;30/04/2018;22.8;Tecnè;1600
Lega;30/04/2018;21.8;Euromedia;800
Lega;30/04/2018;21;Piepoli;505
Lega;30/04/2018;20.8;Bidimedia;906
M5S;30/04/2018;31.8;Tecnè;1600
M5S;30/04/2018;32.8;Euromedia;800
M5S;30/04/2018;33;Piepoli;505
M5S;30/04/2018;34.4;Bidimedia;906
PD;30/04/2018;17.6;Tecnè;1600
PD;30/04/2018;18;Euromedia;800
PD;30/04/2018;18;Piepoli;505
PD;30/04/2018;17.1;Bidimedia;906
FdI;02/05/2018;3.9;Index Research;800
FdI;02/05/2018;4;Piepoli;NA
FI;02/05/2018;12.2;Index Research;800
FI;02/05/2018;13;Piepoli;NA
Lega;02/05/2018;22.9;Index Research;800
Lega;02/05/2018;21;Piepoli;NA
M5S;02/05/2018;33.2;Index Research;800
M5S;02/05/2018;32;Piepoli;NA
PD;02/05/2018;18.1;Index Research;800
PD;02/05/2018;18.5;Piepoli;NA
FdI;03/05/2018;4.6;EMG Acqua;1683
FdI;03/05/2018;3.6;Ipsos;1000
FI;03/05/2018;11.8;EMG Acqua;1683
FI;03/05/2018;13.1;Ipsos;1000
Lega;03/05/2018;23.5;EMG Acqua;1683
Lega;03/05/2018;21.2;Ipsos;1000
M5S;03/05/2018;31.5;EMG Acqua;1683
M5S;03/05/2018;33.7;Ipsos;1000
PD;03/05/2018;17.5;EMG Acqua;1683
PD;03/05/2018;18.3;Ipsos;1000
FdI;04/05/2018;4;Noto Sondaggi;NA
FI;04/05/2018;12;Noto Sondaggi;NA
Lega;04/05/2018;22.5;Noto Sondaggi;NA
M5S;04/05/2018;35;Noto Sondaggi;NA
PD;04/05/2018;15.5;Noto Sondaggi;NA
FdI;06/05/2018;4;Tecnè;1500
FdI;06/05/2018;4.4;SWG;1500
FI;06/05/2018;13;Tecnè;1500
FI;06/05/2018;9.4;SWG;1500
Lega;06/05/2018;22.3;Tecnè;1500
Lega;06/05/2018;24.4;SWG;1500
M5S;06/05/2018;32.1;Tecnè;1500
M5S;06/05/2018;32.3;SWG;1500
PD;06/05/2018;17.7;Tecnè;1500
PD;06/05/2018;19;SWG;1500
FdI;07/05/2018;4;Piepoli;504
FI;07/05/2018;13;Piepoli;504
Lega;07/05/2018;21;Piepoli;504
M5S;07/05/2018;32;Piepoli;504
PD;07/05/2018;19;Piepoli;504
FdI;08/05/2018;4;Tecnè;998
FI;08/05/2018;12.9;Tecnè;998
Lega;08/05/2018;22.6;Tecnè;998
M5S;08/05/2018;32;Tecnè;998
PD;08/05/2018;17.9;Tecnè;998
FdI;10/05/2018;3.5;Piepoli;NA
FdI;10/05/2018;4;Demopolis;1500
FdI;10/05/2018;3.9;Euromedia;800
FdI;10/05/2018;4.8;EMG Acqua;1611
FI;10/05/2018;13.5;Piepoli;NA
FI;10/05/2018;10;Demopolis;1500
FI;10/05/2018;12.8;Euromedia;800
FI;10/05/2018;12.2;EMG Acqua;1611
Lega;10/05/2018;21;Piepoli;NA
Lega;10/05/2018;23;Demopolis;1500
Lega;10/05/2018;22.8;Euromedia;800
Lega;10/05/2018;23.2;EMG Acqua;1611
M5S;10/05/2018;32;Piepoli;NA
M5S;10/05/2018;34;Demopolis;1500
M5S;10/05/2018;32.1;Euromedia;800
M5S;10/05/2018;30.8;EMG Acqua;1611
PD;10/05/2018;19;Piepoli;NA
PD;10/05/2018;17.5;Demopolis;1500
PD;10/05/2018;18;Euromedia;800
PD;10/05/2018;18;EMG Acqua;1611
FdI;11/05/2018;4.1;Ixè;1000
FI;11/05/2018;12.2;Ixè;1000
Lega;11/05/2018;22;Ixè;1000
M5S;11/05/2018;31.5;Ixè;1000
PD;11/05/2018;17.8;Ixè;1000
FdI;13/05/2018;3.8;SWG;1500
FI;13/05/2018;9.8;SWG;1500
Lega;13/05/2018;25.5;SWG;1500
M5S;13/05/2018;32.1;SWG;1500
PD;13/05/2018;19;SWG;1500
FdI;15/05/2018;4;Noto Sondaggi;NA
FI;15/05/2018;13;Noto Sondaggi;NA
Lega;15/05/2018;22;Noto Sondaggi;NA
M5S;15/05/2018;32.5;Noto Sondaggi;NA
PD;15/05/2018;16.5;Noto Sondaggi;NA
FdI;16/05/2018;4.2;Euromedia;800
FdI;16/05/2018;4.2;Index Research;800
FI;16/05/2018;13.8;Euromedia;800
FI;16/05/2018;13.5;Index Research;800
Lega;16/05/2018;22.3;Euromedia;800
Lega;16/05/2018;21.8;Index Research;800
M5S;16/05/2018;31.2;Euromedia;800
M5S;16/05/2018;30.1;Index Research;800
PD;16/05/2018;17.5;Euromedia;800
PD;16/05/2018;19;Index Research;800
FdI;17/05/2018;4;Piepoli;NA
FdI;17/05/2018;3.4;Ipsos;1000
FdI;17/05/2018;4.8;EMG Acqua;1745
FI;17/05/2018;14;Piepoli;NA
FI;17/05/2018;12;Ipsos;1000
FI;17/05/2018;12.9;EMG Acqua;1745
Lega;17/05/2018;21;Piepoli;NA
Lega;17/05/2018;25.4;Ipsos;1000
Lega;17/05/2018;21.8;EMG Acqua;1745
M5S;17/05/2018;31.5;Piepoli;NA
M5S;17/05/2018;32.6;Ipsos;1000
M5S;17/05/2018;31.9;EMG Acqua;1745
PD;17/05/2018;19;Piepoli;NA
PD;17/05/2018;18.1;Ipsos;1000
PD;17/05/2018;18.1;EMG Acqua;1745
FdI;18/05/2018;3.7;Demos & Pi;1006
FdI;18/05/2018;3.8;Tecnè;2000
FI;18/05/2018;13.2;Demos & Pi;1006
FI;18/05/2018;12.8;Tecnè;2000
Lega;18/05/2018;22.1;Demos & Pi;1006
Lega;18/05/2018;23.2;Tecnè;2000
M5S;18/05/2018;31.1;Demos & Pi;1006
M5S;18/05/2018;31.6;Tecnè;2000
PD;18/05/2018;17.6;Demos & Pi;1006
PD;18/05/2018;18.2;Tecnè;2000
FdI;20/05/2018;4.7;SWG;1500
FI;20/05/2018;9.7;SWG;1500
Lega;20/05/2018;24.5;SWG;1500
M5S;20/05/2018;31.1;SWG;1500
PD;20/05/2018;19.1;SWG;1500
FdI;22/05/2018;4;Noto Sondaggi;NA
FI;22/05/2018;12;Noto Sondaggi;NA
Lega;22/05/2018;25;Noto Sondaggi;NA
M5S;22/05/2018;30;Noto Sondaggi;NA
PD;22/05/2018;16.5;Noto Sondaggi;NA
FdI;23/05/2018;4.2;Index Research;800
FdI;23/05/2018;4;Demopolis;1500
FI;23/05/2018;13.2;Index Research;800
FI;23/05/2018;11;Demopolis;1500
Lega;23/05/2018;22.5;Index Research;800
Lega;23/05/2018;24;Demopolis;1500
M5S;23/05/2018;30;Index Research;800
M5S;23/05/2018;32.5;Demopolis;1500
PD;23/05/2018;18.8;Index Research;800
PD;23/05/2018;17;Demopolis;1500
FdI;24/05/2018;4.9;EMG Acqua;1549
FI;24/05/2018;13.4;EMG Acqua;1549
Lega;24/05/2018;21.1;EMG Acqua;1549
M5S;24/05/2018;32.6;EMG Acqua;1549
PD;24/05/2018;18.1;EMG Acqua;1549
FdI;28/05/2018;3.5;Noto Sondaggi;NA
FdI;28/05/2018;3.8;SWG;2100
FdI;28/05/2018;3.6;BiDiMedia;976
FI;28/05/2018;12;Noto Sondaggi;NA
FI;28/05/2018;8;SWG;2100
FI;28/05/2018;9.8;BiDiMedia;976
Lega;28/05/2018;25;Noto Sondaggi;NA
Lega;28/05/2018;27.5;SWG;2100
Lega;28/05/2018;24.7;BiDiMedia;976
M5S;28/05/2018;29;Noto Sondaggi;NA
M5S;28/05/2018;29.5;SWG;2100
M5S;28/05/2018;32.4;BiDiMedia;976
PD;28/05/2018;17;Noto Sondaggi;NA
PD;28/05/2018;19.4;SWG;2100
PD;28/05/2018;18.1;BiDiMedia;976
FdI;29/05/2018;3.1;Termometro Politico;6000
FdI;29/05/2018;3.5;Tecnè;806
FdI;29/05/2018;3.8;Euromedia;800
FdI;29/05/2018;3.5;Piepoli;505
FI;29/05/2018;9.9;Termometro Politico;6000
FI;29/05/2018;12.5;Tecnè;806
FI;29/05/2018;12.5;Euromedia;800
FI;29/05/2018;13.5;Piepoli;505
Lega;29/05/2018;26.7;Termometro Politico;6000
Lega;29/05/2018;25;Tecnè;806
Lega;29/05/2018;23.7;Euromedia;800
Lega;29/05/2018;24;Piepoli;505
M5S;29/05/2018;32.2;Termometro Politico;6000
M5S;29/05/2018;31;Tecnè;806
M5S;29/05/2018;33.7;Euromedia;800
M5S;29/05/2018;31.5;Piepoli;505
PD;29/05/2018;19.1;Termometro Politico;6000
PD;29/05/2018;17.3;Tecnè;806
PD;29/05/2018;17;Euromedia;800
PD;29/05/2018;19;Piepoli;505
FdI;30/05/2018;4;Demopolis;1500
FI;30/05/2018;11;Demopolis;1500
Lega;30/05/2018;26;Demopolis;1500
M5S;30/05/2018;30;Demopolis;1500
PD;30/05/2018;19;Demopolis;1500
FdI;31/05/2018;3.9;Ipsos;1002
FdI;31/05/2018;3.5;Index Research;800
FI;31/05/2018;9;Ipsos;1002
FI;31/05/2018;10.1;Index Research;800
Lega;31/05/2018;28.5;Ipsos;1002
Lega;31/05/2018;26.5;Index Research;800
M5S;31/05/2018;30.1;Ipsos;1002
M5S;31/05/2018;29;Index Research;800
PD;31/05/2018;19.2;Ipsos;1002
PD;31/05/2018;19.2;Index Research;800
FdI;03/06/2018;5.2;EMG Acqua;1784
FI;03/06/2018;12;EMG Acqua;1784
Lega;03/06/2018;22.3;EMG Acqua;1784
M5S;03/06/2018;32;EMG Acqua;1784
PD;03/06/2018;19.6;EMG Acqua;1784
FdI;04/06/2018;3;Piepoli;614
FdI;04/06/2018;3.7;SWG;1500
FI;04/06/2018;14;Piepoli;614
FI;04/06/2018;8.8;SWG;1500
Lega;04/06/2018;24;Piepoli;614
Lega;04/06/2018;27.2;SWG;1500
M5S;04/06/2018;31.5;Piepoli;614
M5S;04/06/2018;30.9;SWG;1500
PD;04/06/2018;18.5;Piepoli;614
PD;04/06/2018;18.5;SWG;1500
FdI;06/06/2018;3.2;Index Research;800
FI;06/06/2018;10;Index Research;800
Lega;06/06/2018;26.7;Index Research;800
M5S;06/06/2018;29.2;Index Research;800
PD;06/06/2018;19.4;Index Research;800
FdI;11/06/2018;3.9;SWG;1500
FI;11/06/2018;8.6;SWG;1500
Lega;11/06/2018;27;SWG;1500
M5S;11/06/2018;31.5;SWG;1500
PD;11/06/2018;18.4;SWG;1500
FdI;12/06/2018;3.6;Tecnè;1001
FdI;12/06/2018;3.5;Piepoli;506
FI;12/06/2018;11.2;Tecnè;1001
FI;12/06/2018;13.5;Piepoli;506
Lega;12/06/2018;25.6;Tecnè;1001
Lega;12/06/2018;25.5;Piepoli;506
M5S;12/06/2018;28.4;Tecnè;1001
M5S;12/06/2018;30;Piepoli;506
PD;12/06/2018;19.4;Tecnè;1001
PD;12/06/2018;18.5;Piepoli;506
FdI;13/06/2018;2.9;Ipsos;1000
FdI;13/06/2018;4.3;Euromedia;800
FI;13/06/2018;8.7;Ipsos;1000
FI;13/06/2018;12.3;Euromedia;800
Lega;13/06/2018;30.1;Ipsos;1000
Lega;13/06/2018;27.3;Euromedia;800
M5S;13/06/2018;29.9;Ipsos;1000
M5S;13/06/2018;29;Euromedia;800
PD;13/06/2018;18.6;Ipsos;1000
PD;13/06/2018;17.5;Euromedia;800
FdI;15/06/2018;2.8;Termometro Politico;2300
FI;15/06/2018;8.1;Termometro Politico;2300
Lega;15/06/2018;28.7;Termometro Politico;2300
M5S;15/06/2018;29.5;Termometro Politico;2300
PD;15/06/2018;21.2;Termometro Politico;2300
FdI;16/06/2018;4.1;Ixè;1000
FI;16/06/2018;9.5;Ixè;1000
Lega;16/06/2018;28;Ixè;1000
M5S;16/06/2018;28.5;Ixè;1000
PD;16/06/2018;19.7;Ixè;1000
FdI;18/06/2018;4.1;SWG;1500
FI;18/06/2018;9.2;SWG;1500
Lega;18/06/2018;29.2;SWG;1500
M5S;18/06/2018;29;SWG;1500
PD;18/06/2018;18.8;SWG;1500
FdI;19/06/2018;3.5;Noto Sondaggi;NA
FdI;19/06/2018;3;Piepoli;504
FI;19/06/2018;9;Noto Sondaggi;NA
